set BAI := 1 2 3 4;

set MED := 1 2 3 4 5 6 7 8 9 10;

param: ANT: CIO BB := 
 1  1.5  1
 2	0.8  1
 3	1.2  2
 4	1.7  2
 5	0.9  3
 6	1.1  3
 7	0.6  4
 8	1.0  4;

param DIST :
    1	2	3	4	5	6	7	8 :=  
1	172	629	629	614	628	231	542	451
2	247	469	629	538	794	727	495	640
3	1	82	671	633	55	709	583	720
4	744	639	698	513	629	418	280	252
5	636	699	3	560	506	762	165	635
6	695	675	438	707	60	748	511	698
7	568	646	361	245	743	89	592	512
8	519	769	600	615	458	613	663	23
9	579	170	597	172	623	405	319	506
10	545	529	765	219	526	569	506	512;

param DMAX := 520;
