param : ol:      R       X   Imax :=
#                ohm     ohm    A
        1  2  0.1170  0.0480  600
        2  3  0.1073  0.0440  600
        3  4  0.1645  0.0457  600
        4  5  0.1495  0.0415  600
        5  6  0.1495  0.0415  600
        6  7  0.3144  0.0540  200
        7  8  0.2096  0.0360  200
        8  9  0.3144  0.0540  200
        9 10  0.2096  0.0360  200
       10 11  0.1310  0.0225  100
       11 12  0.1048  0.0180  100
        3 13  0.1572  0.0270  100
       13 14  0.2096  0.0360  100
       14 15  0.1048  0.0180  100
       15 16  0.0524  0.0090  100
        6 17  0.1794  0.0498  400
       17 18  0.1645  0.0457  400
       18 19  0.2079  0.0473  400
       19 20  0.1890  0.0430  400
       20 21  0.1890  0.0430  400
       21 22  0.2620  0.0450  200
       22 23  0.2620  0.0450  200
       23 24  0.3144  0.0540  200
       24 25  0.2096  0.0360  200
       25 26  0.1310  0.0225  100
       26 27  0.1048  0.0180  100
        7 28  0.1572  0.0270  100
       28 29  0.1572  0.0270  100
       29 30  0.1572  0.0270  100
       10 31  0.1572  0.0270  100
       31 32  0.2096  0.0360  100
       32 33  0.1572  0.0270  100
       33 34  0.1048  0.0180  100;

param : ob :  Tb   PDprev     QDprev   :=
#        Tb=1:SE, 
#        Tb=0:carga   kW         kVAr 
         1     1     0.0         0.0
         2     0   130.3	80.7  
         3     0     0.0	 0.0
         4     0   130.3	80.7
         5     0   130.3	80.7
         6     0     0.0	 0.0
         7     0     0.0	 0.0
         8     0   130.3	80.7
         9     0   130.3	80.7
         10    0     0.0	 0.0
         11    0   130.3	80.7
         12    0    77.6	47.6
         13    0    40.8	25.5
         14    0    40.8	25.5
         15    0    40.8	25.5
         16    0     7.6	 4.2
         17    0   130.3	80.7
         18    0   130.3	80.7
         19    0   130.3	80.7
         20    0   130.3	80.7
         21    0   130.3	80.7
         22    0   130.3	80.7
         23    0   130.3	80.7
         24    0   130.3	80.7
         25    0   130.3	80.7
         26    0   130.3	80.7
         27    0    77.6	48.1
         28    0    42.5	27.2
         29    0    42.5	27.2
         30    0    42.5	27.2
         31    0    32.3	21.2
         32    0    32.3	21.2
         33    0    32.3	21.2
         34    0    32.3	21.2;

param : obV :  Vmed      WV :=
#                 kV
        1    6.3509   10000;
	    
param : olP :  Pmed      WP :=
#   
        1   2     0       0; 
  
param : obPS :  PSmed      WPS :=
#                 
        1      2517.38    10000;   
